class	property	type	description
CreativeWork	audio	AudioObject	An embedded audio object.
Audience	audienceType	Text	The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).
Service	audience	Audience	An intended audience, i.e. a group for whom something was created.
Product	audience	Audience	An intended audience, i.e. a group for whom something was created.
PlayAction	audience	Audience	An intended audience, i.e. a group for whom something was created.
LodgingBusiness	audience	Audience	An intended audience, i.e. a group for whom something was created.
Event	audience	Audience	An intended audience, i.e. a group for whom something was created.
CreativeWork	audience	Audience	An intended audience, i.e. a group for whom something was created.
Event	attendees	Person	A person attending the event.
Event	attendees	Organization	A person attending the event.
Event	attendee	Person	A person or organization attending the event.
Event	attendee	Organization	A person or organization attending the event.
SportsTeam	athlete	Person	A person that acts as performing member of a sports team; a player as opposed to a coach.
CreativeWork	associatedMedia	MediaObject	A media object that encodes this CreativeWork. This property is a synonym for encoding.
MediaObject	associatedArticle	NewsArticle	A NewsArticle associated with the Media Object.
APIReference	assemblyVersion	Text	Associated product/technology version. e.g., .NET Framework 4.5.
APIReference	assembly	Text	Library file name e.g., mscorlib.dll, system.web.dll.
VisualArtwork	artworkSurface	URL	The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.
VisualArtwork	artworkSurface	Text	The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.
Article	articleSection	Text	Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.
Article	articleBody	Text	The actual body of the article.
VisualArtwork	artform	URL	e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.
VisualArtwork	artform	Text	e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.
VisualArtwork	artMedium	URL	The material used. (e.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)
VisualArtwork	artMedium	Text	The material used. (e.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)
VisualArtwork	artEdition	Text	"The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"")."
VisualArtwork	artEdition	Integer	"The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"")."
Trip	arrivalTime	DateTime	The expected arrival time.
Flight	arrivalTerminal	Text	Identifier of the flight's arrival terminal.
TrainTrip	arrivalStation	TrainStation	The station where the train trip ends.
TrainTrip	arrivalPlatform	Text	The platform where the train arrives.
Flight	arrivalGate	Text	Identifier of the flight's arrival gate.
BusTrip	arrivalBusStop	BusStop	The stop or station from which the bus arrives.
BusTrip	arrivalBusStop	BusStation	The stop or station from which the bus arrives.
Flight	arrivalAirport	Airport	The airport where the flight terminates.
Service	areaServed	Text	The geographic area where a service or offered item is provided.
Service	areaServed	Place	The geographic area where a service or offered item is provided.
Service	areaServed	GeoShape	The geographic area where a service or offered item is provided.
Service	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.
Organization	areaServed	Text	The geographic area where a service or offered item is provided.
Organization	areaServed	Place	The geographic area where a service or offered item is provided.
Organization	areaServed	GeoShape	The geographic area where a service or offered item is provided.
Organization	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.
Offer	areaServed	Text	The geographic area where a service or offered item is provided.
Offer	areaServed	Place	The geographic area where a service or offered item is provided.
Offer	areaServed	GeoShape	The geographic area where a service or offered item is provided.
Offer	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.
Demand	areaServed	Text	The geographic area where a service or offered item is provided.
Demand	areaServed	Place	The geographic area where a service or offered item is provided.
Demand	areaServed	GeoShape	The geographic area where a service or offered item is provided.
Demand	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.
DeliveryChargeSpecification	areaServed	Text	The geographic area where a service or offered item is provided.
DeliveryChargeSpecification	areaServed	Place	The geographic area where a service or offered item is provided.
DeliveryChargeSpecification	areaServed	GeoShape	The geographic area where a service or offered item is provided.
DeliveryChargeSpecification	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.
ContactPoint	areaServed	Text	The geographic area where a service or offered item is provided.
ContactPoint	areaServed	Place	The geographic area where a service or offered item is provided.
ContactPoint	areaServed	GeoShape	The geographic area where a service or offered item is provided.
ContactPoint	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.
BroadcastService	area	Place	The area within which users can expect to reach the broadcast service.
PaymentChargeSpecification	appliesToPaymentMethod	PaymentMethod	The payment method(s) to which the payment charge specification applies.
PaymentChargeSpecification	appliesToDeliveryMethod	DeliveryMethod	The delivery method(s) to which the delivery charge or payment charge specification applies.
